/home/aris/data/lamia.csv,MeasurementValue
1/15/2011 21:30,32.23
1/15/2011 22:00,32.23
1/15/2011 22:30,32.23
1/15/2011 23:00,32.23
1/15/2011 23:30,32.23
1/16/2011,32.23
1/16/2011 0:30,32.23
1/16/2011 1:00,32.23
1/16/2011 1:30,32.23
1/16/2011 2:00,32.23
1/16/2011 2:30,32.23
1/16/2011 3:00,32.23
1/16/2011 3:30,32.23
1/16/2011 4:00,32.23
1/16/2011 4:30,32.23
1/16/2011 5:00,32.23
1/16/2011 5:30,32.23
1/16/2011 6:00,32.23
1/16/2011 6:30,32.23
1/16/2011 7:00,32.23
1/16/2011 7:30,32.23
1/16/2011 8:00,32.23
1/16/2011 8:30,32.23
1/16/2011 9:00,32.23
1/16/2011 9:30,32.23
1/16/2011 10:00,32.23
1/16/2011 10:30,32.23
1/16/2011 11:00,32.23
1/16/2011 11:30,32.23
1/16/2011 12:00,32.23
1/16/2011 12:30,32.23
1/16/2011 13:00,32.23
1/16/2011 13:30,32.23
1/16/2011 14:00,32.23
1/16/2011 14:30,32.23
1/16/2011 15:00,32.23
1/16/2011 15:30,32.23
1/16/2011 16:00,32.23
1/16/2011 16:30,32.23
1/16/2011 17:00,32.23
1/16/2011 17:30,32.23
1/16/2011 18:00,32.23
1/16/2011 18:30,32.23
1/16/2011 19:00,32.23
1/16/2011 19:30,32.23
1/16/2011 20:00,32.23
1/16/2011 20:30,32.23
1/16/2011 21:00,32.23
1/16/2011 21:30,32.23
1/16/2011 22:00,32.23
1/16/2011 22:30,32.23
1/16/2011 23:00,32.23
1/16/2011 23:30,32.23
1/17/2011,32.23
1/17/2011 0:30,32.23
1/17/2011 1:00,32.23
1/17/2011 1:30,32.23
1/17/2011 2:00,32.23
1/17/2011 2:30,32.23
1/17/2011 3:00,32.23
1/17/2011 3:30,32.23
1/17/2011 4:00,32.23
1/17/2011 4:30,32.23
1/17/2011 5:00,32.23
1/17/2011 5:30,32.23
1/17/2011 6:00,32.23
1/17/2011 6:30,32.23
1/17/2011 7:00,32.23
1/17/2011 7:30,32.23
1/17/2011 8:00,32.23
1/17/2011 8:30,32.23
1/17/2011 9:00,32.23
1/17/2011 9:30,32.23
1/17/2011 10:00,32.23
1/17/2011 10:30,100.44
1/17/2011 11:00,97.07
1/17/2011 11:30,112.13
1/17/2011 12:00,101.06
1/17/2011 12:30,104.44
1/17/2011 13:00,105.06
1/17/2011 13:30,102.9
1/17/2011 14:00,103.22
